dimension,inputsize,keysize,threshold,nclients,dropout,phase,round,direction,size
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
300000,16,256,200,300,0.2,online,round0,sent,1040
