dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
300000,16,256,200,300,0.2,client,online,round0,0.009855912999910288
300000,16,256,200,300,0.2,client,online,round0,0.001285734000020966
300000,16,256,200,300,0.2,client,online,round0,0.0012485100000958482
300000,16,256,200,300,0.2,client,online,round0,0.03953919099990344
300000,16,256,200,300,0.2,client,online,round0,0.0012280079999982263
300000,16,256,200,300,0.2,client,online,round0,0.0018352470001445909
300000,16,256,200,300,0.2,client,online,round0,0.001120892000017193
300000,16,256,200,300,0.2,client,online,round0,0.0011027089999515738
300000,16,256,200,300,0.2,client,online,round0,0.0010996050000358082
300000,16,256,200,300,0.2,client,online,round0,0.0012042819998896448
300000,16,256,200,300,0.2,client,online,round0,0.0011355209999237559
300000,16,256,200,300,0.2,client,online,round0,0.0011067279999679158
300000,16,256,200,300,0.2,client,online,round0,0.0012097750000066299
300000,16,256,200,300,0.2,client,online,round0,0.0011702479998803028
300000,16,256,200,300,0.2,client,online,round0,0.0010235659999580093
300000,16,256,200,300,0.2,client,online,round0,0.0010768770000595396
300000,16,256,200,300,0.2,client,online,round0,0.0017114920001404244
300000,16,256,200,300,0.2,client,online,round0,0.0012068700000327226
300000,16,256,200,300,0.2,client,online,round0,0.0010570009999355534
300000,16,256,200,300,0.2,client,online,round0,0.0010299729999587726
300000,16,256,200,300,0.2,client,online,round0,0.0012859030000527127
300000,16,256,200,300,0.2,client,online,round0,0.001018296999973245
300000,16,256,200,300,0.2,client,online,round0,0.0010302549999323674
300000,16,256,200,300,0.2,client,online,round0,0.0011989089998678537
300000,16,256,200,300,0.2,client,online,round0,0.0018488560001514998
300000,16,256,200,300,0.2,client,online,round0,0.0011777600000186794
300000,16,256,200,300,0.2,client,online,round0,0.001167593999980454
300000,16,256,200,300,0.2,client,online,round0,0.0010611479999624862
300000,16,256,200,300,0.2,client,online,round0,0.0011965859998781525
300000,16,256,200,300,0.2,client,online,round0,0.001155683000206409
300000,16,256,200,300,0.2,client,online,round0,0.001202748999958203
300000,16,256,200,300,0.2,client,online,round0,0.0010263560000112193
300000,16,256,200,300,0.2,client,online,round0,0.0012375730000258045
300000,16,256,200,300,0.2,client,online,round0,0.0011370060001354432
300000,16,256,200,300,0.2,client,online,round0,0.0018882720000874542
300000,16,256,200,300,0.2,client,online,round0,0.0013344799999686074
300000,16,256,200,300,0.2,client,online,round0,0.0010470309998709126
300000,16,256,200,300,0.2,client,online,round0,0.0010999680000622902
300000,16,256,200,300,0.2,client,online,round0,0.001145704000009573
300000,16,256,200,300,0.2,client,online,round0,0.0010881009998229274
300000,16,256,200,300,0.2,client,online,round0,0.0012900480001007963
300000,16,256,200,300,0.2,client,online,round0,0.0012361430001419649
300000,16,256,200,300,0.2,client,online,round0,0.0013742309999997815
300000,16,256,200,300,0.2,client,online,round0,0.0015389860000141198
300000,16,256,200,300,0.2,client,online,round0,0.0016744540000672714
