dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
1000,16,256,400,600,0.0,client,online,round0,0.0052156581077724695
1000,16,256,400,600,0.0,client,online,round0,0.0012034769169986248
1000,16,256,400,600,0.0,client,online,round0,0.001113716047257185
1000,16,256,400,600,0.0,client,online,round0,0.0010614870116114616
1000,16,256,400,600,0.0,client,online,round0,0.0011582120787352324
1000,16,256,400,600,0.0,client,online,round0,0.0011475468054413795
1000,16,256,400,600,0.0,client,online,round0,0.0011987059842795134
1000,16,256,400,600,0.0,client,online,round0,0.0011412040330469608
1000,16,256,400,600,0.0,client,online,round0,0.0011658810544759035
1000,16,256,400,600,0.0,client,online,round0,0.0011783631052821875
1000,16,256,400,600,0.0,client,online,round0,0.001149896066635847
1000,16,256,400,600,0.0,client,online,round0,0.0011327259708195925
1000,16,256,400,600,0.0,client,online,round0,0.0011348780244588852
1000,16,256,400,600,0.0,client,online,round0,0.0011196359992027283
1000,16,256,400,600,0.0,client,online,round0,0.001198112964630127
1000,16,256,400,600,0.0,client,online,round0,0.0011980489362031221
1000,16,256,400,600,0.0,client,online,round0,0.0011787109542638063
1000,16,256,400,600,0.0,client,online,round0,0.0011219969019293785
1000,16,256,400,600,0.0,client,online,round0,0.0011591250076889992
1000,16,256,400,600,0.0,client,online,round0,0.001083951909095049
1000,16,256,400,600,0.0,client,online,round0,0.0011295720469206572
1000,16,256,400,600,0.0,client,online,round0,0.0010858909226953983
1000,16,256,400,600,0.0,client,online,round0,0.0010041850619018078
1000,16,256,400,600,0.0,client,online,round0,0.0009070469532161951
1000,16,256,400,600,0.0,client,online,round0,0.0011759370099753141
1000,16,256,400,600,0.0,client,online,round0,0.000937407836318016
1000,16,256,400,600,0.0,client,online,round0,0.0010385841596871614
1000,16,256,400,600,0.0,client,online,round0,0.0010871707927435637
1000,16,256,400,600,0.0,client,online,round0,0.000943958992138505
1000,16,256,400,600,0.0,client,online,round0,0.001249693101271987
1000,16,256,400,600,0.0,client,online,round0,0.0010902630165219307
1000,16,256,400,600,0.0,client,online,round0,0.0009403491858392954
1000,16,256,400,600,0.0,client,online,round0,0.0010629519820213318
1000,16,256,400,600,0.0,client,online,round0,0.0009664639364928007
1000,16,256,400,600,0.0,client,online,round0,0.0009413750376552343
1000,16,256,400,600,0.0,client,online,round0,0.000993509078398347
1000,16,256,400,600,0.0,client,online,round0,0.0010058460757136345
1000,16,256,400,600,0.0,client,online,round0,0.0010312211234122515
1000,16,256,400,600,0.0,client,online,round0,0.00111415795981884
1000,16,256,400,600,0.0,client,online,round0,0.0009354159701615572
1000,16,256,400,600,0.0,client,online,round0,0.0008963581640273333
1000,16,256,400,600,0.0,client,online,round0,0.0010022041387856007
1000,16,256,400,600,0.0,client,online,round0,0.0009096150752156973
1000,16,256,400,600,0.0,client,online,round0,0.0009948830120265484
1000,16,256,400,600,0.0,client,online,round0,0.002043419051915407
1000,16,256,400,600,0.0,client,online,round0,0.0009750770404934883
1000,16,256,400,600,0.0,client,online,round0,0.0009697000496089458
1000,16,256,400,600,0.0,client,online,round0,0.0010502419900149107
1000,16,256,400,600,0.0,client,online,round0,0.0009935081470757723
1000,16,256,400,600,0.0,client,online,round0,0.0012980320025235415
1000,16,256,400,600,0.0,client,online,round0,0.0015034708194434643
1000,16,256,400,600,0.0,client,online,round0,0.0011540139093995094
1000,16,256,400,600,0.0,client,online,round0,0.0010921249631792307
1000,16,256,400,600,0.0,client,online,round0,0.0014251901302486658
1000,16,256,400,600,0.0,client,online,round0,0.0013655659276992083
1000,16,256,400,600,0.0,client,online,round0,0.001152214128524065
1000,16,256,400,600,0.0,client,online,round0,0.0011368650011718273
1000,16,256,400,600,0.0,client,online,round0,0.0011157889384776354
1000,16,256,400,600,0.0,client,online,round0,0.0011106878519058228
1000,16,256,400,600,0.0,client,online,round0,0.0015345308929681778
1000,16,256,400,600,0.0,client,online,round0,0.0011261289473623037
1000,16,256,400,600,0.0,client,online,round0,0.0011332659050822258
1000,16,256,400,600,0.0,client,online,round0,0.001176872057840228
1000,16,256,400,600,0.0,client,online,round0,0.0012570039834827185
1000,16,256,400,600,0.0,client,online,round0,0.001136838924139738
1000,16,256,400,600,0.0,client,online,round0,0.0011798529885709286
1000,16,256,400,600,0.0,client,online,round0,0.0011097239330410957
1000,16,256,400,600,0.0,client,online,round0,0.001142252003774047
1000,16,256,400,600,0.0,client,online,round0,0.0010799919255077839
1000,16,256,400,600,0.0,client,online,round0,0.0011734149884432554
1000,16,256,400,600,0.0,client,online,round0,0.0011703360360115767
1000,16,256,400,600,0.0,client,online,round0,0.0011707530356943607
1000,16,256,400,600,0.0,client,online,round0,0.0011439830996096134
1000,16,256,400,600,0.0,client,online,round0,0.0013171788305044174
1000,16,256,400,600,0.0,client,online,round0,0.0011215100530534983
1000,16,256,400,600,0.0,client,online,round0,0.0011741919443011284
1000,16,256,400,600,0.0,client,online,round0,0.0009729708544909954
1000,16,256,400,600,0.0,client,online,round0,0.0011468860320746899
1000,16,256,400,600,0.0,client,online,round0,0.0020541290286928415
1000,16,256,400,600,0.0,client,online,round0,0.0010895950254052877
1000,16,256,400,600,0.0,client,online,round0,0.0010360281448811293
1000,16,256,400,600,0.0,client,online,round0,0.0011286442168056965
1000,16,256,400,600,0.0,client,online,round0,0.0011506830342113972
1000,16,256,400,600,0.0,client,online,round0,0.0011633269023150206
1000,16,256,400,600,0.0,client,online,round0,0.0009772370103746653
1000,16,256,400,600,0.0,client,online,round0,0.0010805639903992414
1000,16,256,400,600,0.0,client,online,round0,0.0010961308144032955
1000,16,256,400,600,0.0,client,online,round0,0.001012283144518733
1000,16,256,400,600,0.0,client,online,round0,0.0010067741386592388
1000,16,256,400,600,0.0,client,online,round0,0.00098735885694623
1000,16,256,400,600,0.0,client,online,round0,0.0009744318667799234
1000,16,256,400,600,0.0,client,online,round0,0.0009388139005750418
1000,16,256,400,600,0.0,client,online,round0,0.0009596110321581364
1000,16,256,400,600,0.0,client,online,round0,0.0009707210119813681
1000,16,256,400,600,0.0,client,online,round0,0.0015034431125968695
1000,16,256,400,600,0.0,client,online,round0,0.0011146520264446735
1000,16,256,400,600,0.0,client,online,round0,0.0011567401234060526
1000,16,256,400,600,0.0,client,online,round0,0.0009348529856652021
1000,16,256,400,600,0.0,client,online,round0,0.0011168329510837793
1000,16,256,400,600,0.0,client,online,round0,0.0010181060060858727
1000,16,256,400,600,0.0,client,online,round0,0.0010146850254386663
1000,16,256,400,600,0.0,client,online,round0,0.0010690868366509676
1000,16,256,400,600,0.0,client,online,round0,0.001415911829099059
1000,16,256,400,600,0.0,client,online,round0,0.0011519030667841434
1000,16,256,400,600,0.0,client,online,round0,0.0009605640079826117
1000,16,256,400,600,0.0,client,online,round0,0.0013614059425890446
1000,16,256,400,600,0.0,client,online,round0,0.0011210930533707142
1000,16,256,400,600,0.0,client,online,round0,0.001143269008025527
1000,16,256,400,600,0.0,client,online,round0,0.0009433419909328222
1000,16,256,400,600,0.0,client,online,round0,0.0014599140267819166
1000,16,256,400,600,0.0,client,online,round0,0.0012366650626063347
1000,16,256,400,600,0.0,client,online,round0,0.0011899189557880163
1000,16,256,400,600,0.0,client,online,round0,0.0011115369852632284
1000,16,256,400,600,0.0,client,online,round0,0.0011565231252461672
1000,16,256,400,600,0.0,client,online,round0,0.0011604959145188332
1000,16,256,400,600,0.0,client,online,round0,0.0011781170032918453
1000,16,256,400,600,0.0,client,online,round0,0.0013289239723235369
1000,16,256,400,600,0.0,client,online,round0,0.0011305129155516624
1000,16,256,400,600,0.0,client,online,round0,0.0010920369531959295
1000,16,256,400,600,0.0,client,online,round0,0.0010036209132522345
1000,16,256,400,600,0.0,client,online,round0,0.0011183649767190218
1000,16,256,400,600,0.0,client,online,round0,0.0010685729794204235
1000,16,256,400,600,0.0,client,online,round0,0.0010671531781554222
1000,16,256,400,600,0.0,client,online,round0,0.0011180059518665075
1000,16,256,400,600,0.0,client,online,round0,0.001114427112042904
1000,16,256,400,600,0.0,client,online,round0,0.001114910002797842
1000,16,256,400,600,0.0,client,online,round0,0.001173284836113453
1000,16,256,400,600,0.0,client,online,round0,0.0011410049628466368
1000,16,256,400,600,0.0,client,online,round0,0.0010505369864404202
1000,16,256,400,600,0.0,client,online,round0,0.001121229026466608
1000,16,256,400,600,0.0,client,online,round0,0.0011273690033704042
1000,16,256,400,600,0.0,client,online,round0,0.001106663141399622
1000,16,256,400,600,0.0,client,online,round0,0.0011519219260662794
1000,16,256,400,600,0.0,client,online,round0,0.0011411739978939295
1000,16,256,400,600,0.0,client,online,round0,0.0011458848603069782
1000,16,256,400,600,0.0,client,online,round0,0.001146967988461256
1000,16,256,400,600,0.0,client,online,round0,0.0011134620290249586
1000,16,256,400,600,0.0,client,online,round0,0.0012102620676159859
1000,16,256,400,600,0.0,client,online,round0,0.001330214785411954
1000,16,256,400,600,0.0,client,online,round0,0.0011038000229746103
1000,16,256,400,600,0.0,client,online,round0,0.0011916030198335648
1000,16,256,400,600,0.0,client,online,round0,0.0011408599093556404
1000,16,256,400,600,0.0,client,online,round0,0.0011827549897134304
1000,16,256,400,600,0.0,client,online,round0,0.0011368910782039165
1000,16,256,400,600,0.0,client,online,round0,0.0011027678847312927
1000,16,256,400,600,0.0,client,online,round0,0.0010980521328747272
1000,16,256,400,600,0.0,client,online,round0,0.001003040000796318
1000,16,256,400,600,0.0,client,online,round0,0.0010471967980265617
1000,16,256,400,600,0.0,client,online,round0,0.0010964658576995134
1000,16,256,400,600,0.0,client,online,round0,0.0011234150733798742
1000,16,256,400,600,0.0,client,online,round0,0.0011507559102028608
1000,16,256,400,600,0.0,client,online,round0,0.0011014591436833143
1000,16,256,400,600,0.0,client,online,round0,0.0010916839819401503
1000,16,256,400,600,0.0,client,online,round0,0.0011525610461831093
1000,16,256,400,600,0.0,client,online,round0,0.0009657831396907568
1000,16,256,400,600,0.0,client,online,round0,0.0010239481925964355
1000,16,256,400,600,0.0,client,online,round0,0.0009957719594240189
1000,16,256,400,600,0.0,client,online,round0,0.001064046984538436
1000,16,256,400,600,0.0,client,online,round0,0.0011418410576879978
1000,16,256,400,600,0.0,client,online,round0,0.0010559610091149807
1000,16,256,400,600,0.0,client,online,round0,0.0011108010075986385
1000,16,256,400,600,0.0,client,online,round0,0.0011304619256407022
1000,16,256,400,600,0.0,client,online,round0,0.0010749788489192724
1000,16,256,400,600,0.0,client,online,round0,0.0011011580936610699
1000,16,256,400,600,0.0,client,online,round0,0.001120815984904766
1000,16,256,400,600,0.0,client,online,round0,0.0010971289593726397
1000,16,256,400,600,0.0,client,online,round0,0.0011082151904702187
1000,16,256,400,600,0.0,client,online,round0,0.001152062090113759
1000,16,256,400,600,0.0,client,online,round0,0.0009979081805795431
1000,16,256,400,600,0.0,client,online,round0,0.0012045870535075665
1000,16,256,400,600,0.0,client,online,round0,0.0010869570542126894
1000,16,256,400,600,0.0,client,online,round0,0.0010667529422789812
1000,16,256,400,600,0.0,client,online,round0,0.001103755785152316
1000,16,256,400,600,0.0,client,online,round0,0.0010011140257120132
1000,16,256,400,600,0.0,client,online,round0,0.0009844289161264896
1000,16,256,400,600,0.0,client,online,round0,0.0011105190496891737
1000,16,256,400,600,0.0,client,online,round0,0.0012930368538945913
1000,16,256,400,600,0.0,client,online,round0,0.001278531039133668
1000,16,256,400,600,0.0,client,online,round0,0.0010197549127042294
1000,16,256,400,600,0.0,client,online,round0,0.0012679160572588444
1000,16,256,400,600,0.0,client,online,round0,0.0010449760593473911
1000,16,256,400,600,0.0,client,online,round0,0.0009917828720062971
1000,16,256,400,600,0.0,client,online,round0,0.0010128519497811794
1000,16,256,400,600,0.0,client,online,round0,0.001042902935296297
1000,16,256,400,600,0.0,client,online,round0,0.0012325108982622623
1000,16,256,400,600,0.0,client,online,round0,0.001082852017134428
1000,16,256,400,600,0.0,client,online,round0,0.0011474979110062122
1000,16,256,400,600,0.0,client,online,round0,0.0010991068556904793
1000,16,256,400,600,0.0,client,online,round0,0.0011828429996967316
1000,16,256,400,600,0.0,client,online,round0,0.0010151579044759274
1000,16,256,400,600,0.0,client,online,round0,0.0009538431186228991
1000,16,256,400,600,0.0,client,online,round0,0.001146392896771431
1000,16,256,400,600,0.0,client,online,round0,0.0009124618954956532
1000,16,256,400,600,0.0,client,online,round0,0.0010283798910677433
1000,16,256,400,600,0.0,client,online,round0,0.0011316949967294931
1000,16,256,400,600,0.0,client,online,round0,0.0011543489526957273
1000,16,256,400,600,0.0,client,online,round0,0.0010115141049027443
1000,16,256,400,600,0.0,client,online,round0,0.0010411699768155813
1000,16,256,400,600,0.0,client,online,round0,0.0010941789951175451
1000,16,256,400,600,0.0,client,online,round0,0.0010606800206005573
1000,16,256,400,600,0.0,client,online,round0,0.001048786100000143
1000,16,256,400,600,0.0,client,online,round0,0.0010390698444098234
1000,16,256,400,600,0.0,client,online,round0,0.0012557918671518564
1000,16,256,400,600,0.0,client,online,round0,0.0011824120301753283
1000,16,256,400,600,0.0,client,online,round0,0.0010486701503396034
1000,16,256,400,600,0.0,client,online,round0,0.0009623190853744745
1000,16,256,400,600,0.0,client,online,round0,0.000998909818008542
1000,16,256,400,600,0.0,client,online,round0,0.0011277711018919945
1000,16,256,400,600,0.0,client,online,round0,0.0011661218013614416
1000,16,256,400,600,0.0,client,online,round0,0.0011424780823290348
1000,16,256,400,600,0.0,client,online,round0,0.0010474780574440956
1000,16,256,400,600,0.0,client,online,round0,0.0010189441964030266
1000,16,256,400,600,0.0,client,online,round0,0.0009372441563755274
1000,16,256,400,600,0.0,client,online,round0,0.0010079680941998959
1000,16,256,400,600,0.0,client,online,round0,0.0010576178319752216
1000,16,256,400,600,0.0,client,online,round0,0.0011828809510916471
1000,16,256,400,600,0.0,client,online,round0,0.0012439731508493423
1000,16,256,400,600,0.0,client,online,round0,0.0010690190829336643
1000,16,256,400,600,0.0,client,online,round0,0.0009092369582504034
1000,16,256,400,600,0.0,client,online,round0,0.0009059859439730644
1000,16,256,400,600,0.0,client,online,round0,0.0008923800196498632
1000,16,256,400,600,0.0,client,online,round0,0.0010498198680579662
1000,16,256,400,600,0.0,client,online,round0,0.001049982849508524
1000,16,256,400,600,0.0,client,online,round0,0.0012478381395339966
1000,16,256,400,600,0.0,client,online,round0,0.0010746081825345755
1000,16,256,400,600,0.0,client,online,round0,0.0010999760124832392
1000,16,256,400,600,0.0,client,online,round0,0.001129537122324109
1000,16,256,400,600,0.0,client,online,round0,0.0011399579234421253
1000,16,256,400,600,0.0,client,online,round0,0.0009572429116815329
1000,16,256,400,600,0.0,client,online,round0,0.0009926161728799343
1000,16,256,400,600,0.0,client,online,round0,0.0011286810040473938
1000,16,256,400,600,0.0,client,online,round0,0.0009834370575845242
1000,16,256,400,600,0.0,client,online,round0,0.0008871438913047314
1000,16,256,400,600,0.0,client,online,round0,0.0009675337933003902
1000,16,256,400,600,0.0,client,online,round0,0.00109576596878469
1000,16,256,400,600,0.0,client,online,round0,0.0010839561000466347
1000,16,256,400,600,0.0,client,online,round0,0.0010064379312098026
1000,16,256,400,600,0.0,client,online,round0,0.0009095720015466213
