dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
10000,16,256,67,100,0.0,client,online,round0,0.0057487319863867015
10000,16,256,67,100,0.0,client,online,round0,0.0010619889944791794
10000,16,256,67,100,0.0,client,online,round0,0.0010352249955758452
10000,16,256,67,100,0.0,client,online,round0,0.001010617008432746
10000,16,256,67,100,0.0,client,online,round0,0.0012607210082933307
10000,16,256,67,100,0.0,client,online,round0,0.0011015220079571009
10000,16,256,67,100,0.0,client,online,round0,0.0011766490060836077
10000,16,256,67,100,0.0,client,online,round0,0.0011076160008087754
10000,16,256,67,100,0.0,client,online,round0,0.0010941349901258945
10000,16,256,67,100,0.0,client,online,round0,0.0010770090157166123
10000,16,256,67,100,0.0,client,online,round0,0.001078112021787092
10000,16,256,67,100,0.0,client,online,round0,0.0016903420037124306
10000,16,256,67,100,0.0,client,online,round0,0.0010521160147618502
10000,16,256,67,100,0.0,client,online,round0,0.0015586939989589155
10000,16,256,67,100,0.0,client,online,round0,0.001254837989108637
10000,16,256,67,100,0.0,client,online,round0,0.0010940080101136118
10000,16,256,67,100,0.0,client,online,round0,0.003467562986770645
10000,16,256,67,100,0.0,client,online,round0,0.0011135849927086383
10000,16,256,67,100,0.0,client,online,round0,0.001117444015108049
10000,16,256,67,100,0.0,client,online,round0,0.0011568420159164816
10000,16,256,67,100,0.0,client,online,round0,0.0010190500179305673
10000,16,256,67,100,0.0,client,online,round0,0.0011016860080417246
10000,16,256,67,100,0.0,client,online,round0,0.001169088005553931
10000,16,256,67,100,0.0,client,online,round0,0.0010373270197305828
10000,16,256,67,100,0.0,client,online,round0,0.0009517070138826966
10000,16,256,67,100,0.0,client,online,round0,0.0012714540062006563
10000,16,256,67,100,0.0,client,online,round0,0.000964139006100595
10000,16,256,67,100,0.0,client,online,round0,0.0010951299918815494
10000,16,256,67,100,0.0,client,online,round0,0.001097455999115482
10000,16,256,67,100,0.0,client,online,round0,0.0010416040022391826
10000,16,256,67,100,0.0,client,online,round0,0.0011139870039187372
10000,16,256,67,100,0.0,client,online,round0,0.0010404479980934411
10000,16,256,67,100,0.0,client,online,round0,0.0011553349904716015
10000,16,256,67,100,0.0,client,online,round0,0.0011108200123999268
10000,16,256,67,100,0.0,client,online,round0,0.0011801719956565648
10000,16,256,67,100,0.0,client,online,round0,0.0011874990013893694
10000,16,256,67,100,0.0,client,online,round0,0.0013210320030339062
