dimension,inputsize,keysize,threshold,nclients,dropout,phase,round,direction,size
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
300000,16,2048,200,300,0.3,setup,register,sent,1040
