dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
100000,16,2048,200,300,0.3,client,setup,register,0.004396818000031999
100000,16,2048,200,300,0.3,client,setup,register,0.0012169119999043687
100000,16,2048,200,300,0.3,client,setup,register,0.0011027739999462938
100000,16,2048,200,300,0.3,client,setup,register,0.0011701699999093762
100000,16,2048,200,300,0.3,client,setup,register,0.0011086700000078054
100000,16,2048,200,300,0.3,client,setup,register,0.0010938529999293678
100000,16,2048,200,300,0.3,client,setup,register,0.0010652819998995255
100000,16,2048,200,300,0.3,client,setup,register,0.0010904910000135715
100000,16,2048,200,300,0.3,client,setup,register,0.001016129999925397
100000,16,2048,200,300,0.3,client,setup,register,0.0011887690000094153
100000,16,2048,200,300,0.3,client,setup,register,0.0010450490000266655
100000,16,2048,200,300,0.3,client,setup,register,0.001289633000055801
100000,16,2048,200,300,0.3,client,setup,register,0.0011852650000037102
100000,16,2048,200,300,0.3,client,setup,register,0.0010958130000062738
100000,16,2048,200,300,0.3,client,setup,register,0.0010528799999747207
100000,16,2048,200,300,0.3,client,setup,register,0.0010627249999970445
100000,16,2048,200,300,0.3,client,setup,register,0.0010595940000257542
100000,16,2048,200,300,0.3,client,setup,register,0.0010791859999699227
100000,16,2048,200,300,0.3,client,setup,register,0.0012641850000818522
100000,16,2048,200,300,0.3,client,setup,register,0.0010529859999905966
100000,16,2048,200,300,0.3,client,setup,register,0.0011406400000169015
100000,16,2048,200,300,0.3,client,setup,register,0.0010369459999992614
100000,16,2048,200,300,0.3,client,setup,register,0.0010103170000093087
100000,16,2048,200,300,0.3,client,setup,register,0.0011256779999939681
100000,16,2048,200,300,0.3,client,setup,register,0.0010682349999342478
100000,16,2048,200,300,0.3,client,setup,register,0.0011471289999462897
100000,16,2048,200,300,0.3,client,setup,register,0.0011377639999636813
100000,16,2048,200,300,0.3,client,setup,register,0.0011443060000146943
100000,16,2048,200,300,0.3,client,setup,register,0.0010541210000383217
100000,16,2048,200,300,0.3,client,setup,register,0.0012334790000068097
100000,16,2048,200,300,0.3,client,setup,register,0.0011117889999923136
100000,16,2048,200,300,0.3,client,setup,register,0.001116656000021976
100000,16,2048,200,300,0.3,client,setup,register,0.0011345760000267546
100000,16,2048,200,300,0.3,client,setup,register,0.0011418920000778598
100000,16,2048,200,300,0.3,client,setup,register,0.0010577839999541538
