dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
100000,16,2048,400,600,0.3,client,setup,register,0.0043035210110247135
100000,16,2048,400,600,0.3,client,setup,register,0.0010771499946713448
100000,16,2048,400,600,0.3,client,setup,register,0.001076083048246801
100000,16,2048,400,600,0.3,client,setup,register,0.0010433009592816234
100000,16,2048,400,600,0.3,client,setup,register,0.0010341369779780507
100000,16,2048,400,600,0.3,client,setup,register,0.0010644040303304791
100000,16,2048,400,600,0.3,client,setup,register,0.0010244159493595362
100000,16,2048,400,600,0.3,client,setup,register,0.001023513963446021
100000,16,2048,400,600,0.3,client,setup,register,0.0010532140731811523
100000,16,2048,400,600,0.3,client,setup,register,0.0010392299154773355
100000,16,2048,400,600,0.3,client,setup,register,0.0010042149806395173
100000,16,2048,400,600,0.3,client,setup,register,0.0010626489529386163
100000,16,2048,400,600,0.3,client,setup,register,0.0010679169790819287
100000,16,2048,400,600,0.3,client,setup,register,0.0010491469874978065
100000,16,2048,400,600,0.3,client,setup,register,0.0010562530951574445
100000,16,2048,400,600,0.3,client,setup,register,0.0010552440071478486
100000,16,2048,400,600,0.3,client,setup,register,0.0010903629008680582
100000,16,2048,400,600,0.3,client,setup,register,0.0010384259512647986
100000,16,2048,400,600,0.3,client,setup,register,0.000984310987405479
100000,16,2048,400,600,0.3,client,setup,register,0.0010135270422324538
100000,16,2048,400,600,0.3,client,setup,register,0.001071676961146295
100000,16,2048,400,600,0.3,client,setup,register,0.0010235420195385814
100000,16,2048,400,600,0.3,client,setup,register,0.0010046350071206689
100000,16,2048,400,600,0.3,client,setup,register,0.001052208011969924
100000,16,2048,400,600,0.3,client,setup,register,0.001030315994285047
100000,16,2048,400,600,0.3,client,setup,register,0.001057852990925312
100000,16,2048,400,600,0.3,client,setup,register,0.0010729070054367185
100000,16,2048,400,600,0.3,client,setup,register,0.001018501934595406
100000,16,2048,400,600,0.3,client,setup,register,0.0009717791108414531
100000,16,2048,400,600,0.3,client,setup,register,0.0010474390583112836
100000,16,2048,400,600,0.3,client,setup,register,0.0010114200413227081
100000,16,2048,400,600,0.3,client,setup,register,0.001070559024810791
100000,16,2048,400,600,0.3,client,setup,register,0.0010166820138692856
100000,16,2048,400,600,0.3,client,setup,register,0.0010239430703222752
100000,16,2048,400,600,0.3,client,setup,register,0.0009934259578585625
100000,16,2048,400,600,0.3,client,setup,register,0.001032753032632172
100000,16,2048,400,600,0.3,client,setup,register,0.0010111869778484106
100000,16,2048,400,600,0.3,client,setup,register,0.001028698985464871
100000,16,2048,400,600,0.3,client,setup,register,0.0010571329621598125
100000,16,2048,400,600,0.3,client,setup,register,0.0010023070499300957
100000,16,2048,400,600,0.3,client,setup,register,0.0011056079529225826
100000,16,2048,400,600,0.3,client,setup,register,0.0011297749588266015
100000,16,2048,400,600,0.3,client,setup,register,0.0010338600259274244
100000,16,2048,400,600,0.3,client,setup,register,0.0010480820201337337
100000,16,2048,400,600,0.3,client,setup,register,0.0010120050283148885
100000,16,2048,400,600,0.3,client,setup,register,0.001035124994814396
100000,16,2048,400,600,0.3,client,setup,register,0.0010076661128550768
100000,16,2048,400,600,0.3,client,setup,register,0.001048256061039865
100000,16,2048,400,600,0.3,client,setup,register,0.00109863409306854
100000,16,2048,400,600,0.3,client,setup,register,0.0010638850508257747
100000,16,2048,400,600,0.3,client,setup,register,0.0010763899190351367
100000,16,2048,400,600,0.3,client,setup,register,0.0010339301079511642
100000,16,2048,400,600,0.3,client,setup,register,0.0011151309590786695
100000,16,2048,400,600,0.3,client,setup,register,0.0010540090734139085
100000,16,2048,400,600,0.3,client,setup,register,0.0011109679471701384
100000,16,2048,400,600,0.3,client,setup,register,0.0010688420152291656
100000,16,2048,400,600,0.3,client,setup,register,0.001041515963152051
100000,16,2048,400,600,0.3,client,setup,register,0.0010293680243194103
100000,16,2048,400,600,0.3,client,setup,register,0.0010675389785319567
100000,16,2048,400,600,0.3,client,setup,register,0.0010247220052406192
100000,16,2048,400,600,0.3,client,setup,register,0.0010763140162453055
100000,16,2048,400,600,0.3,client,setup,register,0.001054223976098001
100000,16,2048,400,600,0.3,client,setup,register,0.0010655689984560013
100000,16,2048,400,600,0.3,client,setup,register,0.0010507319821044803
100000,16,2048,400,600,0.3,client,setup,register,0.0009788129245862365
100000,16,2048,400,600,0.3,client,setup,register,0.001052655978128314
100000,16,2048,400,600,0.3,client,setup,register,0.0010519950883463025
100000,16,2048,400,600,0.3,client,setup,register,0.0009895239491015673
