dimension,inputsize,keysize,threshold,nclients,dropout,phase,round,direction,size
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
1000,16,2048,400,600,0.0,setup,register,sent,1040
