dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
1000,16,2048,400,600,0.0,client,setup,register,0.004224339994834736
1000,16,2048,400,600,0.0,client,setup,register,0.0010748489876277745
1000,16,2048,400,600,0.0,client,setup,register,0.0010223079880233854
1000,16,2048,400,600,0.0,client,setup,register,0.00100818500504829
1000,16,2048,400,600,0.0,client,setup,register,0.0010394679848104715
1000,16,2048,400,600,0.0,client,setup,register,0.0010675940138753504
1000,16,2048,400,600,0.0,client,setup,register,0.0010118290083482862
1000,16,2048,400,600,0.0,client,setup,register,0.000989477994153276
1000,16,2048,400,600,0.0,client,setup,register,0.001071629987563938
1000,16,2048,400,600,0.0,client,setup,register,0.0009759530075825751
1000,16,2048,400,600,0.0,client,setup,register,0.001040332019329071
1000,16,2048,400,600,0.0,client,setup,register,0.0009997939923778176
1000,16,2048,400,600,0.0,client,setup,register,0.0011022649996448308
1000,16,2048,400,600,0.0,client,setup,register,0.001007860992103815
1000,16,2048,400,600,0.0,client,setup,register,0.0010029350232798606
1000,16,2048,400,600,0.0,client,setup,register,0.0010260329872835428
1000,16,2048,400,600,0.0,client,setup,register,0.0009759959939401597
1000,16,2048,400,600,0.0,client,setup,register,0.0010170999739784747
1000,16,2048,400,600,0.0,client,setup,register,0.0009700170194264501
1000,16,2048,400,600,0.0,client,setup,register,0.0010261819988954812
1000,16,2048,400,600,0.0,client,setup,register,0.0010171940084546804
1000,16,2048,400,600,0.0,client,setup,register,0.000995490001514554
1000,16,2048,400,600,0.0,client,setup,register,0.0010690299968700856
1000,16,2048,400,600,0.0,client,setup,register,0.0009877789998427033
1000,16,2048,400,600,0.0,client,setup,register,0.0009518610022496432
1000,16,2048,400,600,0.0,client,setup,register,0.0010327729978598654
1000,16,2048,400,600,0.0,client,setup,register,0.001016867026919499
1000,16,2048,400,600,0.0,client,setup,register,0.001086138014215976
1000,16,2048,400,600,0.0,client,setup,register,0.001020110008539632
1000,16,2048,400,600,0.0,client,setup,register,0.00098644700483419
1000,16,2048,400,600,0.0,client,setup,register,0.0010755439870990813
1000,16,2048,400,600,0.0,client,setup,register,0.0010386120120529085
1000,16,2048,400,600,0.0,client,setup,register,0.001001577009446919
1000,16,2048,400,600,0.0,client,setup,register,0.0010150430025532842
1000,16,2048,400,600,0.0,client,setup,register,0.0010091970034409314
1000,16,2048,400,600,0.0,client,setup,register,0.0010068670089822263
1000,16,2048,400,600,0.0,client,setup,register,0.0009601110068615526
1000,16,2048,400,600,0.0,client,setup,register,0.0010194839851465076
1000,16,2048,400,600,0.0,client,setup,register,0.0010477080068085343
1000,16,2048,400,600,0.0,client,setup,register,0.0010012539860326797
1000,16,2048,400,600,0.0,client,setup,register,0.0010665819863788784
1000,16,2048,400,600,0.0,client,setup,register,0.0010808320075739175
1000,16,2048,400,600,0.0,client,setup,register,0.0010003950155805796
1000,16,2048,400,600,0.0,client,setup,register,0.0010622960107866675
1000,16,2048,400,600,0.0,client,setup,register,0.0010837980080395937
1000,16,2048,400,600,0.0,client,setup,register,0.0010536490008234978
1000,16,2048,400,600,0.0,client,setup,register,0.0009801140113268048
1000,16,2048,400,600,0.0,client,setup,register,0.0010480339988134801
1000,16,2048,400,600,0.0,client,setup,register,0.0012637039762921631
1000,16,2048,400,600,0.0,client,setup,register,0.001265383994905278
1000,16,2048,400,600,0.0,client,setup,register,0.0013509219861589372
1000,16,2048,400,600,0.0,client,setup,register,0.0010690469935070723
1000,16,2048,400,600,0.0,client,setup,register,0.0010097520134877414
1000,16,2048,400,600,0.0,client,setup,register,0.000947552005527541
1000,16,2048,400,600,0.0,client,setup,register,0.0010195930080953985
1000,16,2048,400,600,0.0,client,setup,register,0.0009944720077328384
1000,16,2048,400,600,0.0,client,setup,register,0.0010088139970321208
1000,16,2048,400,600,0.0,client,setup,register,0.001117865991545841
1000,16,2048,400,600,0.0,client,setup,register,0.0010780970042105764
1000,16,2048,400,600,0.0,client,setup,register,0.001088744989829138
1000,16,2048,400,600,0.0,client,setup,register,0.0010172149923164397
1000,16,2048,400,600,0.0,client,setup,register,0.0009778219973668456
1000,16,2048,400,600,0.0,client,setup,register,0.0011038719967473298
1000,16,2048,400,600,0.0,client,setup,register,0.0010351890232414007
1000,16,2048,400,600,0.0,client,setup,register,0.0015698159986641258
1000,16,2048,400,600,0.0,client,setup,register,0.001279156975215301
1000,16,2048,400,600,0.0,client,setup,register,0.0010742720041889697
1000,16,2048,400,600,0.0,client,setup,register,0.0010626860021147877
1000,16,2048,400,600,0.0,client,setup,register,0.0010269960039295256
1000,16,2048,400,600,0.0,client,setup,register,0.0009705759875942022
1000,16,2048,400,600,0.0,client,setup,register,0.0009873989911284298
1000,16,2048,400,600,0.0,client,setup,register,0.0010211000044364482
1000,16,2048,400,600,0.0,client,setup,register,0.0010319929860997945
1000,16,2048,400,600,0.0,client,setup,register,0.0010320820147171617
1000,16,2048,400,600,0.0,client,setup,register,0.00101001700386405
1000,16,2048,400,600,0.0,client,setup,register,0.0010810680105350912
1000,16,2048,400,600,0.0,client,setup,register,0.0010631449986249208
1000,16,2048,400,600,0.0,client,setup,register,0.0010326039919164032
1000,16,2048,400,600,0.0,client,setup,register,0.0009780030231922865
1000,16,2048,400,600,0.0,client,setup,register,0.0009932690009009093
1000,16,2048,400,600,0.0,client,setup,register,0.0010386139911133796
1000,16,2048,400,600,0.0,client,setup,register,0.0009764429996721447
1000,16,2048,400,600,0.0,client,setup,register,0.0009649089770391583
1000,16,2048,400,600,0.0,client,setup,register,0.0010755819967016578
1000,16,2048,400,600,0.0,client,setup,register,0.0010596950014587492
1000,16,2048,400,600,0.0,client,setup,register,0.00105251299100928
1000,16,2048,400,600,0.0,client,setup,register,0.001047792989993468
1000,16,2048,400,600,0.0,client,setup,register,0.0010194670176133513
1000,16,2048,400,600,0.0,client,setup,register,0.0009371709893457592
1000,16,2048,400,600,0.0,client,setup,register,0.001110835000872612
1000,16,2048,400,600,0.0,client,setup,register,0.0010476360039319843
1000,16,2048,400,600,0.0,client,setup,register,0.0009347279847133905
1000,16,2048,400,600,0.0,client,setup,register,0.001003701996523887
1000,16,2048,400,600,0.0,client,setup,register,0.0010870940168388188
1000,16,2048,400,600,0.0,client,setup,register,0.001039238995872438
1000,16,2048,400,600,0.0,client,setup,register,0.0010410090035293251
1000,16,2048,400,600,0.0,client,setup,register,0.001058142981491983
1000,16,2048,400,600,0.0,client,setup,register,0.0010845079959835857
1000,16,2048,400,600,0.0,client,setup,register,0.0010594099876470864
1000,16,2048,400,600,0.0,client,setup,register,0.0010470130073372275
1000,16,2048,400,600,0.0,client,setup,register,0.0010023780050687492
1000,16,2048,400,600,0.0,client,setup,register,0.0010116100020240992
1000,16,2048,400,600,0.0,client,setup,register,0.0009984119969885796
1000,16,2048,400,600,0.0,client,setup,register,0.0010394419950898737
1000,16,2048,400,600,0.0,client,setup,register,0.0010050619894172996
1000,16,2048,400,600,0.0,client,setup,register,0.001094920007744804
1000,16,2048,400,600,0.0,client,setup,register,0.0010441909835208207
1000,16,2048,400,600,0.0,client,setup,register,0.0010311419900972396
1000,16,2048,400,600,0.0,client,setup,register,0.001298185990890488
1000,16,2048,400,600,0.0,client,setup,register,0.0010177049844060093
1000,16,2048,400,600,0.0,client,setup,register,0.0010932300065178424
1000,16,2048,400,600,0.0,client,setup,register,0.0010603689879644662
1000,16,2048,400,600,0.0,client,setup,register,0.0010022319911513478
1000,16,2048,400,600,0.0,client,setup,register,0.0009960430033970624
1000,16,2048,400,600,0.0,client,setup,register,0.0011259489983785897
1000,16,2048,400,600,0.0,client,setup,register,0.0010609349992591888
1000,16,2048,400,600,0.0,client,setup,register,0.0009685919794719666
1000,16,2048,400,600,0.0,client,setup,register,0.0009548109956085682
1000,16,2048,400,600,0.0,client,setup,register,0.0009968529921025038
1000,16,2048,400,600,0.0,client,setup,register,0.001035994995618239
1000,16,2048,400,600,0.0,client,setup,register,0.0011238220031373203
1000,16,2048,400,600,0.0,client,setup,register,0.0010304029856342822
1000,16,2048,400,600,0.0,client,setup,register,0.0009513369877822697
1000,16,2048,400,600,0.0,client,setup,register,0.0010445840016473085
1000,16,2048,400,600,0.0,client,setup,register,0.0009962320036720484
1000,16,2048,400,600,0.0,client,setup,register,0.001008905004709959
1000,16,2048,400,600,0.0,client,setup,register,0.0010772210080176592
1000,16,2048,400,600,0.0,client,setup,register,0.0009475160040892661
1000,16,2048,400,600,0.0,client,setup,register,0.001043723983457312
1000,16,2048,400,600,0.0,client,setup,register,0.0010340770240873098
1000,16,2048,400,600,0.0,client,setup,register,0.0010486980027053505
1000,16,2048,400,600,0.0,client,setup,register,0.0010490450076758862
1000,16,2048,400,600,0.0,client,setup,register,0.0009675229957792908
1000,16,2048,400,600,0.0,client,setup,register,0.0010101489897351712
1000,16,2048,400,600,0.0,client,setup,register,0.0010434919968247414
1000,16,2048,400,600,0.0,client,setup,register,0.0009892809903249145
1000,16,2048,400,600,0.0,client,setup,register,0.0009961570031009614
1000,16,2048,400,600,0.0,client,setup,register,0.001055986009305343
1000,16,2048,400,600,0.0,client,setup,register,0.001030979008646682
1000,16,2048,400,600,0.0,client,setup,register,0.0010285000025760382
1000,16,2048,400,600,0.0,client,setup,register,0.0010718929988797754
1000,16,2048,400,600,0.0,client,setup,register,0.0010548330028541386
1000,16,2048,400,600,0.0,client,setup,register,0.0009903209866024554
1000,16,2048,400,600,0.0,client,setup,register,0.0010026000090874732
1000,16,2048,400,600,0.0,client,setup,register,0.0009855009848251939
1000,16,2048,400,600,0.0,client,setup,register,0.0011003109975717962
1000,16,2048,400,600,0.0,client,setup,register,0.001005101017653942
1000,16,2048,400,600,0.0,client,setup,register,0.0010222189885098487
1000,16,2048,400,600,0.0,client,setup,register,0.0011880510137416422
1000,16,2048,400,600,0.0,client,setup,register,0.0010517420014366508
1000,16,2048,400,600,0.0,client,setup,register,0.0009852359944488853
1000,16,2048,400,600,0.0,client,setup,register,0.001001238008029759
1000,16,2048,400,600,0.0,client,setup,register,0.0010148999863304198
1000,16,2048,400,600,0.0,client,setup,register,0.0010476290190126747
1000,16,2048,400,600,0.0,client,setup,register,0.0010267200123053044
1000,16,2048,400,600,0.0,client,setup,register,0.0010008620156440884
1000,16,2048,400,600,0.0,client,setup,register,0.0010680249833967537
1000,16,2048,400,600,0.0,client,setup,register,0.0010314070095773786
1000,16,2048,400,600,0.0,client,setup,register,0.001015966001432389
1000,16,2048,400,600,0.0,client,setup,register,0.0010173069895245135
1000,16,2048,400,600,0.0,client,setup,register,0.0009919000149238855
1000,16,2048,400,600,0.0,client,setup,register,0.0010463579965289682
1000,16,2048,400,600,0.0,client,setup,register,0.0009938919974956661
1000,16,2048,400,600,0.0,client,setup,register,0.000999110983684659
1000,16,2048,400,600,0.0,client,setup,register,0.0010522580123506486
1000,16,2048,400,600,0.0,client,setup,register,0.0011637349962256849
1000,16,2048,400,600,0.0,client,setup,register,0.0010111639858223498
1000,16,2048,400,600,0.0,client,setup,register,0.0010070750140585005
1000,16,2048,400,600,0.0,client,setup,register,0.00097658799495548
1000,16,2048,400,600,0.0,client,setup,register,0.000990102009382099
1000,16,2048,400,600,0.0,client,setup,register,0.0010699330014176667
1000,16,2048,400,600,0.0,client,setup,register,0.0010161990066990256
1000,16,2048,400,600,0.0,client,setup,register,0.0009961670148186386
1000,16,2048,400,600,0.0,client,setup,register,0.0012153680145274848
1000,16,2048,400,600,0.0,client,setup,register,0.0022326309990603477
1000,16,2048,400,600,0.0,client,setup,register,0.0020543920109048486
1000,16,2048,400,600,0.0,client,setup,register,0.00200786700588651
1000,16,2048,400,600,0.0,client,setup,register,0.0021240159985609353
1000,16,2048,400,600,0.0,client,setup,register,0.0021773319749627262
1000,16,2048,400,600,0.0,client,setup,register,0.002224777010269463
1000,16,2048,400,600,0.0,client,setup,register,0.0021804069983772933
1000,16,2048,400,600,0.0,client,setup,register,0.0021487379854079336
1000,16,2048,400,600,0.0,client,setup,register,0.001633461011806503
1000,16,2048,400,600,0.0,client,setup,register,0.0010829520178958774
1000,16,2048,400,600,0.0,client,setup,register,0.0010750840010587126
1000,16,2048,400,600,0.0,client,setup,register,0.0010247559985145926
1000,16,2048,400,600,0.0,client,setup,register,0.001045406999764964
1000,16,2048,400,600,0.0,client,setup,register,0.0009823990112636238
1000,16,2048,400,600,0.0,client,setup,register,0.0010191220208071172
1000,16,2048,400,600,0.0,client,setup,register,0.0011002769751939923
1000,16,2048,400,600,0.0,client,setup,register,0.0010076049948111176
1000,16,2048,400,600,0.0,client,setup,register,0.0010141080128960311
1000,16,2048,400,600,0.0,client,setup,register,0.0010671679920051247
1000,16,2048,400,600,0.0,client,setup,register,0.0010696050012484193
1000,16,2048,400,600,0.0,client,setup,register,0.0010852180130314082
1000,16,2048,400,600,0.0,client,setup,register,0.001020591997075826
1000,16,2048,400,600,0.0,client,setup,register,0.0009634429879952222
1000,16,2048,400,600,0.0,client,setup,register,0.0011533089855220169
1000,16,2048,400,600,0.0,client,setup,register,0.000971203000517562
1000,16,2048,400,600,0.0,client,setup,register,0.001024599012453109
1000,16,2048,400,600,0.0,client,setup,register,0.0010297959961462766
1000,16,2048,400,600,0.0,client,setup,register,0.0011132500076200813
1000,16,2048,400,600,0.0,client,setup,register,0.0011301159975118935
1000,16,2048,400,600,0.0,client,setup,register,0.0010398579761385918
1000,16,2048,400,600,0.0,client,setup,register,0.001038125017657876
1000,16,2048,400,600,0.0,client,setup,register,0.0009721920068841428
1000,16,2048,400,600,0.0,client,setup,register,0.0010220329859293997
1000,16,2048,400,600,0.0,client,setup,register,0.0009945650235749781
1000,16,2048,400,600,0.0,client,setup,register,0.0009619579941499978
1000,16,2048,400,600,0.0,client,setup,register,0.0009585460065864027
1000,16,2048,400,600,0.0,client,setup,register,0.0011071080225519836
1000,16,2048,400,600,0.0,client,setup,register,0.0009848680056165904
1000,16,2048,400,600,0.0,client,setup,register,0.0009916150011122227
1000,16,2048,400,600,0.0,client,setup,register,0.001082656002836302
1000,16,2048,400,600,0.0,client,setup,register,0.001034457003697753
1000,16,2048,400,600,0.0,client,setup,register,0.0008471320034004748
1000,16,2048,400,600,0.0,client,setup,register,0.0010549849830567837
1000,16,2048,400,600,0.0,client,setup,register,0.0010227300226688385
1000,16,2048,400,600,0.0,client,setup,register,0.0009650500142015517
1000,16,2048,400,600,0.0,client,setup,register,0.0008745189988985658
1000,16,2048,400,600,0.0,client,setup,register,0.0008558459812775254
1000,16,2048,400,600,0.0,client,setup,register,0.0009226770198438317
1000,16,2048,400,600,0.0,client,setup,register,0.0009636010217946023
1000,16,2048,400,600,0.0,client,setup,register,0.0009968960075639188
1000,16,2048,400,600,0.0,client,setup,register,0.0008001500100363046
1000,16,2048,400,600,0.0,client,setup,register,0.0009414530068170279
1000,16,2048,400,600,0.0,client,setup,register,0.0010513809975236654
1000,16,2048,400,600,0.0,client,setup,register,0.0011307869863230735
1000,16,2048,400,600,0.0,client,setup,register,0.0009142329799942672
1000,16,2048,400,600,0.0,client,setup,register,0.0012604570074472576
1000,16,2048,400,600,0.0,client,setup,register,0.0009729189914651215
1000,16,2048,400,600,0.0,client,setup,register,0.0009856960095930845
1000,16,2048,400,600,0.0,client,setup,register,0.0009599789918866009
1000,16,2048,400,600,0.0,client,setup,register,0.0008225899946410209
1000,16,2048,400,600,0.0,client,setup,register,0.0009313779883086681
1000,16,2048,400,600,0.0,client,setup,register,0.0008010140154510736
1000,16,2048,400,600,0.0,client,setup,register,0.000862284010509029
1000,16,2048,400,600,0.0,client,setup,register,0.0009040129953064024
1000,16,2048,400,600,0.0,client,setup,register,0.0010735559917520732
1000,16,2048,400,600,0.0,client,setup,register,0.0009677079797256738
1000,16,2048,400,600,0.0,client,setup,register,0.001079296984244138
1000,16,2048,400,600,0.0,client,setup,register,0.0008968480105977505
1000,16,2048,400,600,0.0,client,setup,register,0.0009798789978958666
1000,16,2048,400,600,0.0,client,setup,register,0.0009342349949292839
1000,16,2048,400,600,0.0,client,setup,register,0.0008642290194984525
1000,16,2048,400,600,0.0,client,setup,register,0.0008932549972087145
1000,16,2048,400,600,0.0,client,setup,register,0.0009259210200980306
1000,16,2048,400,600,0.0,client,setup,register,0.0009460060100536793
1000,16,2048,400,600,0.0,client,setup,register,0.0008808209968265146
1000,16,2048,400,600,0.0,client,setup,register,0.0008639880106784403
1000,16,2048,400,600,0.0,client,setup,register,0.0009970819810405374
1000,16,2048,400,600,0.0,client,setup,register,0.0008288059907499701
1000,16,2048,400,600,0.0,client,setup,register,0.0008992439834401011
1000,16,2048,400,600,0.0,client,setup,register,0.0009153299906756729
1000,16,2048,400,600,0.0,client,setup,register,0.0009265419794246554
1000,16,2048,400,600,0.0,client,setup,register,0.001056879002135247
1000,16,2048,400,600,0.0,client,setup,register,0.000879846018506214
1000,16,2048,400,600,0.0,client,setup,register,0.0009777560189832002
1000,16,2048,400,600,0.0,client,setup,register,0.0009471389930695295
1000,16,2048,400,600,0.0,client,setup,register,0.0008979930134955794
1000,16,2048,400,600,0.0,client,setup,register,0.0008639369916636497
1000,16,2048,400,600,0.0,client,setup,register,0.0008915579819586128
1000,16,2048,400,600,0.0,client,setup,register,0.0008773949812166393
1000,16,2048,400,600,0.0,client,setup,register,0.0009317910007666796
1000,16,2048,400,600,0.0,client,setup,register,0.0008641740132588893
1000,16,2048,400,600,0.0,client,setup,register,0.000937682983931154
1000,16,2048,400,600,0.0,client,setup,register,0.000887801987119019
1000,16,2048,400,600,0.0,client,setup,register,0.0008685000066179782
1000,16,2048,400,600,0.0,client,setup,register,0.0009701710077933967
1000,16,2048,400,600,0.0,client,setup,register,0.0009990660182666034
1000,16,2048,400,600,0.0,client,setup,register,0.0009282540122512728
1000,16,2048,400,600,0.0,client,setup,register,0.0009960269962903112
1000,16,2048,400,600,0.0,client,setup,register,0.0009092930122278631
1000,16,2048,400,600,0.0,client,setup,register,0.001080385991372168
1000,16,2048,400,600,0.0,client,setup,register,0.0009025730250868946
1000,16,2048,400,600,0.0,client,setup,register,0.000897447025636211
1000,16,2048,400,600,0.0,client,setup,register,0.0009484890033490956
1000,16,2048,400,600,0.0,client,setup,register,0.0009946750069502741
1000,16,2048,400,600,0.0,client,setup,register,0.0009460430010221899
1000,16,2048,400,600,0.0,client,setup,register,0.0009886400075629354
