dimension,inputsize,keysize,threshold,nclients,dropout,phase,round,direction,size
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
200000,16,2048,200,300,0.3,setup,register,sent,1040
