dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
400000,16,2048,200,300,0.0,client,setup,register,0.00555103000078816
400000,16,2048,200,300,0.0,client,setup,register,0.0013336119991436135
400000,16,2048,200,300,0.0,client,setup,register,0.0014184360006765928
400000,16,2048,200,300,0.0,client,setup,register,0.0013381699991441565
400000,16,2048,200,300,0.0,client,setup,register,0.00143371699959971
400000,16,2048,200,300,0.0,client,setup,register,0.0012229589992784895
400000,16,2048,200,300,0.0,client,setup,register,0.0009795989990379894
400000,16,2048,200,300,0.0,client,setup,register,0.0010284460004186258
400000,16,2048,200,300,0.0,client,setup,register,0.0010661079995770706
400000,16,2048,200,300,0.0,client,setup,register,0.001066643999365624
400000,16,2048,200,300,0.0,client,setup,register,0.0010257930007355753
400000,16,2048,200,300,0.0,client,setup,register,0.0009817619993555127
400000,16,2048,200,300,0.0,client,setup,register,0.0011135979984828737
400000,16,2048,200,300,0.0,client,setup,register,0.0010421029983262997
400000,16,2048,200,300,0.0,client,setup,register,0.0009925459999067243
400000,16,2048,200,300,0.0,client,setup,register,0.0010783739999169484
400000,16,2048,200,300,0.0,client,setup,register,0.0010617190000630217
400000,16,2048,200,300,0.0,client,setup,register,0.0010280629994667834
400000,16,2048,200,300,0.0,client,setup,register,0.0010407049994682893
400000,16,2048,200,300,0.0,client,setup,register,0.001082298998881015
400000,16,2048,200,300,0.0,client,setup,register,0.0009718599994812394
400000,16,2048,200,300,0.0,client,setup,register,0.0010475830003997544
400000,16,2048,200,300,0.0,client,setup,register,0.001013430000966764
400000,16,2048,200,300,0.0,client,setup,register,0.0010519589995965362
400000,16,2048,200,300,0.0,client,setup,register,0.0010166040010517463
400000,16,2048,200,300,0.0,client,setup,register,0.001075586000297335
400000,16,2048,200,300,0.0,client,setup,register,0.0010234439996565925
400000,16,2048,200,300,0.0,client,setup,register,0.0010491729990462773
400000,16,2048,200,300,0.0,client,setup,register,0.0010496320010133786
400000,16,2048,200,300,0.0,client,setup,register,0.0009930159994837595
400000,16,2048,200,300,0.0,client,setup,register,0.001079857998774969
400000,16,2048,200,300,0.0,client,setup,register,0.0010209349984506844
400000,16,2048,200,300,0.0,client,setup,register,0.001022734000798664
400000,16,2048,200,300,0.0,client,setup,register,0.0010152009999728762
400000,16,2048,200,300,0.0,client,setup,register,0.0010524160006752936
400000,16,2048,200,300,0.0,client,setup,register,0.0010186899999098387
400000,16,2048,200,300,0.0,client,setup,register,0.0010221730008197483
400000,16,2048,200,300,0.0,client,setup,register,0.001063174000591971
400000,16,2048,200,300,0.0,client,setup,register,0.0010036029998445883
400000,16,2048,200,300,0.0,client,setup,register,0.0010845719989447389
400000,16,2048,200,300,0.0,client,setup,register,0.001013200000670622
400000,16,2048,200,300,0.0,client,setup,register,0.0010308130003977567
400000,16,2048,200,300,0.0,client,setup,register,0.0010419329992146231
400000,16,2048,200,300,0.0,client,setup,register,0.0009737489999679383
400000,16,2048,200,300,0.0,client,setup,register,0.0010015290008595912
400000,16,2048,200,300,0.0,client,setup,register,0.001025235000270186
400000,16,2048,200,300,0.0,client,setup,register,0.00099892800062662
400000,16,2048,200,300,0.0,client,setup,register,0.001006439000775572
400000,16,2048,200,300,0.0,client,setup,register,0.001072728000508505
400000,16,2048,200,300,0.0,client,setup,register,0.0010479070006113034
400000,16,2048,200,300,0.0,client,setup,register,0.0009854639993136516
400000,16,2048,200,300,0.0,client,setup,register,0.001060675998814986
400000,16,2048,200,300,0.0,client,setup,register,0.0010102950000145938
400000,16,2048,200,300,0.0,client,setup,register,0.0010232550012005959
400000,16,2048,200,300,0.0,client,setup,register,0.0010155219988519093
400000,16,2048,200,300,0.0,client,setup,register,0.0010920630011241883
400000,16,2048,200,300,0.0,client,setup,register,0.0010317809992557159
400000,16,2048,200,300,0.0,client,setup,register,0.0010548720001679612
400000,16,2048,200,300,0.0,client,setup,register,0.001016980999338557
400000,16,2048,200,300,0.0,client,setup,register,0.0010252410011162283
400000,16,2048,200,300,0.0,client,setup,register,0.0009890340006677434
400000,16,2048,200,300,0.0,client,setup,register,0.00100841799940099
400000,16,2048,200,300,0.0,client,setup,register,0.001063441999576753
400000,16,2048,200,300,0.0,client,setup,register,0.0010308210003131535
400000,16,2048,200,300,0.0,client,setup,register,0.0009962639996956568
400000,16,2048,200,300,0.0,client,setup,register,0.0010192919999099104
400000,16,2048,200,300,0.0,client,setup,register,0.0010585899999568937
400000,16,2048,200,300,0.0,client,setup,register,0.0010162769995076815
400000,16,2048,200,300,0.0,client,setup,register,0.001040163000652683
400000,16,2048,200,300,0.0,client,setup,register,0.00102517500090471
400000,16,2048,200,300,0.0,client,setup,register,0.0010519500010559568
400000,16,2048,200,300,0.0,client,setup,register,0.001025044999551028
400000,16,2048,200,300,0.0,client,setup,register,0.000956276000579237
400000,16,2048,200,300,0.0,client,setup,register,0.0010507279985176865
400000,16,2048,200,300,0.0,client,setup,register,0.0010297770004399354
400000,16,2048,200,300,0.0,client,setup,register,0.0010059120013465872
400000,16,2048,200,300,0.0,client,setup,register,0.0010534670000197366
400000,16,2048,200,300,0.0,client,setup,register,0.0010489349988347385
400000,16,2048,200,300,0.0,client,setup,register,0.0010517499995330581
400000,16,2048,200,300,0.0,client,setup,register,0.0010522409993427573
400000,16,2048,200,300,0.0,client,setup,register,0.0011085999994975282
400000,16,2048,200,300,0.0,client,setup,register,0.0010546849989623297
400000,16,2048,200,300,0.0,client,setup,register,0.0010230369989585597
400000,16,2048,200,300,0.0,client,setup,register,0.0010271680002915673
400000,16,2048,200,300,0.0,client,setup,register,0.0010751410009106621
400000,16,2048,200,300,0.0,client,setup,register,0.00105387399889878
400000,16,2048,200,300,0.0,client,setup,register,0.0010046119987237034
400000,16,2048,200,300,0.0,client,setup,register,0.0010148220007977216
400000,16,2048,200,300,0.0,client,setup,register,0.0010678090002329554
400000,16,2048,200,300,0.0,client,setup,register,0.0010246549991279608
400000,16,2048,200,300,0.0,client,setup,register,0.0010493680001673056
400000,16,2048,200,300,0.0,client,setup,register,0.0010352589997637551
400000,16,2048,200,300,0.0,client,setup,register,0.0010303219987690682
400000,16,2048,200,300,0.0,client,setup,register,0.0010065639999083942
400000,16,2048,200,300,0.0,client,setup,register,0.00101936799910618
400000,16,2048,200,300,0.0,client,setup,register,0.001085840000087046
400000,16,2048,200,300,0.0,client,setup,register,0.0010346439994464163
400000,16,2048,200,300,0.0,client,setup,register,0.0010629080006765435
400000,16,2048,200,300,0.0,client,setup,register,0.0010521879994485062
400000,16,2048,200,300,0.0,client,setup,register,0.0009666250007285271
400000,16,2048,200,300,0.0,client,setup,register,0.0010043679994851118
400000,16,2048,200,300,0.0,client,setup,register,0.0010060370004794095
400000,16,2048,200,300,0.0,client,setup,register,0.0010222540004178882
400000,16,2048,200,300,0.0,client,setup,register,0.0010195859995292267
400000,16,2048,200,300,0.0,client,setup,register,0.001047943000230589
400000,16,2048,200,300,0.0,client,setup,register,0.0010371369990025414
400000,16,2048,200,300,0.0,client,setup,register,0.0010937919996649725
400000,16,2048,200,300,0.0,client,setup,register,0.0010102599990204908
400000,16,2048,200,300,0.0,client,setup,register,0.0009603600010450464
400000,16,2048,200,300,0.0,client,setup,register,0.001061367000147584
400000,16,2048,200,300,0.0,client,setup,register,0.0010292339993611677
400000,16,2048,200,300,0.0,client,setup,register,0.0010666719990695128
400000,16,2048,200,300,0.0,client,setup,register,0.0010590909987513442
400000,16,2048,200,300,0.0,client,setup,register,0.001021189000312006
400000,16,2048,200,300,0.0,client,setup,register,0.0010058770003524842
400000,16,2048,200,300,0.0,client,setup,register,0.00103449800008093
400000,16,2048,200,300,0.0,client,setup,register,0.001000968999505858
400000,16,2048,200,300,0.0,client,setup,register,0.0010683810014597839
400000,16,2048,200,300,0.0,client,setup,register,0.0010426080007164273
400000,16,2048,200,300,0.0,client,setup,register,0.0010436009997647488
400000,16,2048,200,300,0.0,client,setup,register,0.0010459450004418613
400000,16,2048,200,300,0.0,client,setup,register,0.0010483900005056057
400000,16,2048,200,300,0.0,client,setup,register,0.0010092680004163412
400000,16,2048,200,300,0.0,client,setup,register,0.0010747939995781053
400000,16,2048,200,300,0.0,client,setup,register,0.0010204440004599746
400000,16,2048,200,300,0.0,client,setup,register,0.0011002730007021455
400000,16,2048,200,300,0.0,client,setup,register,0.0010541880001255777
400000,16,2048,200,300,0.0,client,setup,register,0.0009657320006226655
400000,16,2048,200,300,0.0,client,setup,register,0.0010602719994494691
400000,16,2048,200,300,0.0,client,setup,register,0.0009426540000276873
400000,16,2048,200,300,0.0,client,setup,register,0.0009142710005107801
400000,16,2048,200,300,0.0,client,setup,register,0.0009323859994765371
400000,16,2048,200,300,0.0,client,setup,register,0.00098987199999101
400000,16,2048,200,300,0.0,client,setup,register,0.0009444129991607042
400000,16,2048,200,300,0.0,client,setup,register,0.0009898849984892877
