dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
200000,16,256,200,300,0.2,client,online,round0,0.004286782999770367
200000,16,256,200,300,0.2,client,online,round0,0.0010855519994947826
200000,16,256,200,300,0.2,client,online,round0,0.0011247229995205998
200000,16,256,200,300,0.2,client,online,round0,0.0011455620006017853
200000,16,256,200,300,0.2,client,online,round0,0.0011045409992220812
200000,16,256,200,300,0.2,client,online,round0,0.0011558010010048747
200000,16,256,200,300,0.2,client,online,round0,0.0010236809994239593
200000,16,256,200,300,0.2,client,online,round0,0.0011864040006912546
200000,16,256,200,300,0.2,client,online,round0,0.0011469780001789331
200000,16,256,200,300,0.2,client,online,round0,0.0012012909992336063
200000,16,256,200,300,0.2,client,online,round0,0.0011486610001156805
200000,16,256,200,300,0.2,client,online,round0,0.001173671000287868
200000,16,256,200,300,0.2,client,online,round0,0.0015016390007076552
200000,16,256,200,300,0.2,client,online,round0,0.0010315189992979867
200000,16,256,200,300,0.2,client,online,round0,0.0009917629995470634
200000,16,256,200,300,0.2,client,online,round0,0.0011461960002634441
200000,16,256,200,300,0.2,client,online,round0,0.0011096590005763574
200000,16,256,200,300,0.2,client,online,round0,0.0012462790000427049
200000,16,256,200,300,0.2,client,online,round0,0.0010610260014800588
200000,16,256,200,300,0.2,client,online,round0,0.0010010259993578074
200000,16,256,200,300,0.2,client,online,round0,0.001087841999833472
200000,16,256,200,300,0.2,client,online,round0,0.0011380850010027643
200000,16,256,200,300,0.2,client,online,round0,0.0010870480000448879
200000,16,256,200,300,0.2,client,online,round0,0.0009946869995474117
200000,16,256,200,300,0.2,client,online,round0,0.0010470819997863146
200000,16,256,200,300,0.2,client,online,round0,0.001125307999245706
200000,16,256,200,300,0.2,client,online,round0,0.0011336909992678557
200000,16,256,200,300,0.2,client,online,round0,0.0010381040010543074
200000,16,256,200,300,0.2,client,online,round0,0.0011688040012813872
200000,16,256,200,300,0.2,client,online,round0,0.0011844820000987966
200000,16,256,200,300,0.2,client,online,round0,0.0011406759986130055
200000,16,256,200,300,0.2,client,online,round0,0.0009594559996912722
200000,16,256,200,300,0.2,client,online,round0,0.0016401529992435826
200000,16,256,200,300,0.2,client,online,round0,0.0009822709998843493
200000,16,256,200,300,0.2,client,online,round0,0.0011137879992020316
200000,16,256,200,300,0.2,client,online,round0,0.001097661001040251
200000,16,256,200,300,0.2,client,online,round0,0.0010893899998336565
200000,16,256,200,300,0.2,client,online,round0,0.001007754000966088
200000,16,256,200,300,0.2,client,online,round0,0.0010421940005471697
200000,16,256,200,300,0.2,client,online,round0,0.001088303000869928
200000,16,256,200,300,0.2,client,online,round0,0.0012274830005480908
200000,16,256,200,300,0.2,client,online,round0,0.0010355379999964498
200000,16,256,200,300,0.2,client,online,round0,0.001062779998392216
200000,16,256,200,300,0.2,client,online,round0,0.001021248999677482
200000,16,256,200,300,0.2,client,online,round0,0.0010435580006742384
200000,16,256,200,300,0.2,client,online,round0,0.00107131799995841
200000,16,256,200,300,0.2,client,online,round0,0.0012816460002795793
200000,16,256,200,300,0.2,client,online,round0,0.001105325000025914
200000,16,256,200,300,0.2,client,online,round0,0.0011452259986981517
200000,16,256,200,300,0.2,client,online,round0,0.0009686430003057467
200000,16,256,200,300,0.2,client,online,round0,0.0016737739988457179
200000,16,256,200,300,0.2,client,online,round0,0.0011621049998211674
200000,16,256,200,300,0.2,client,online,round0,0.001048938998792437
200000,16,256,200,300,0.2,client,online,round0,0.0010621330002322793
200000,16,256,200,300,0.2,client,online,round0,0.0010174369999731425
200000,16,256,200,300,0.2,client,online,round0,0.0010333560003346065
200000,16,256,200,300,0.2,client,online,round0,0.0011250130010012072
200000,16,256,200,300,0.2,client,online,round0,0.0009996999997383682
200000,16,256,200,300,0.2,client,online,round0,0.0010572569990472402
200000,16,256,200,300,0.2,client,online,round0,0.0010827449987118598
200000,16,256,200,300,0.2,client,online,round0,0.0009864679996098857
200000,16,256,200,300,0.2,client,online,round0,0.0012475610001274617
200000,16,256,200,300,0.2,client,online,round0,0.001036899000609992
200000,16,256,200,300,0.2,client,online,round0,0.0010861589998967247
200000,16,256,200,300,0.2,client,online,round0,0.0010753550013760105
200000,16,256,200,300,0.2,client,online,round0,0.0012543899993033847
200000,16,256,200,300,0.2,client,online,round0,0.001087693999579642
200000,16,256,200,300,0.2,client,online,round0,0.0010828350004885579
200000,16,256,200,300,0.2,client,online,round0,0.0010654230009095045
200000,16,256,200,300,0.2,client,online,round0,0.0011366830003680661
200000,16,256,200,300,0.2,client,online,round0,0.0010525899997446686
200000,16,256,200,300,0.2,client,online,round0,0.0015889019996393472
200000,16,256,200,300,0.2,client,online,round0,0.00114404700070736
200000,16,256,200,300,0.2,client,online,round0,0.00119486099902133
200000,16,256,200,300,0.2,client,online,round0,0.0011953969988098834
200000,16,256,200,300,0.2,client,online,round0,0.0012116279995098012
200000,16,256,200,300,0.2,client,online,round0,0.0011272640003880952
200000,16,256,200,300,0.2,client,online,round0,0.0011992649997409899
200000,16,256,200,300,0.2,client,online,round0,0.0011747900007321732
200000,16,256,200,300,0.2,client,online,round0,0.0011948459996347083
200000,16,256,200,300,0.2,client,online,round0,0.001093701999707264
200000,16,256,200,300,0.2,client,online,round0,0.0010345549999328796
200000,16,256,200,300,0.2,client,online,round0,0.0010788470008264994
200000,16,256,200,300,0.2,client,online,round0,0.0010773419999168254
200000,16,256,200,300,0.2,client,online,round0,0.0010487939998711227
200000,16,256,200,300,0.2,client,online,round0,0.001082466998923337
200000,16,256,200,300,0.2,client,online,round0,0.0011725940003088908
200000,16,256,200,300,0.2,client,online,round0,0.001075017999028205
200000,16,256,200,300,0.2,client,online,round0,0.0011582789993553888
200000,16,256,200,300,0.2,client,online,round0,0.001203895999424276
200000,16,256,200,300,0.2,client,online,round0,0.001035224999213824
200000,16,256,200,300,0.2,client,online,round0,0.0016222700014623115
200000,16,256,200,300,0.2,client,online,round0,0.0010616720010148128
200000,16,256,200,300,0.2,client,online,round0,0.0010192460013058735
200000,16,256,200,300,0.2,client,online,round0,0.001122182000472094
200000,16,256,200,300,0.2,client,online,round0,0.0012087190007150639
200000,16,256,200,300,0.2,client,online,round0,0.0011337679989082972
200000,16,256,200,300,0.2,client,online,round0,0.001242572001501685
200000,16,256,200,300,0.2,client,online,round0,0.0011785309998231241
200000,16,256,200,300,0.2,client,online,round0,0.0010877740005525993
200000,16,256,200,300,0.2,client,online,round0,0.001186223998956848
200000,16,256,200,300,0.2,client,online,round0,0.0010363960009271977
200000,16,256,200,300,0.2,client,online,round0,0.0010086639995279256
200000,16,256,200,300,0.2,client,online,round0,0.0010457580010552192
200000,16,256,200,300,0.2,client,online,round0,0.001237680999111035
200000,16,256,200,300,0.2,client,online,round0,0.0009921669989125803
200000,16,256,200,300,0.2,client,online,round0,0.0010641779990692157
200000,16,256,200,300,0.2,client,online,round0,0.0011484660008136416
200000,16,256,200,300,0.2,client,online,round0,0.0011649940006464021
200000,16,256,200,300,0.2,client,online,round0,0.0010527810009079985
200000,16,256,200,300,0.2,client,online,round0,0.0016769119993114145
200000,16,256,200,300,0.2,client,online,round0,0.001297175000217976
200000,16,256,200,300,0.2,client,online,round0,0.001277503000892466
200000,16,256,200,300,0.2,client,online,round0,0.001184654000098817
200000,16,256,200,300,0.2,client,online,round0,0.0011209479998797178
200000,16,256,200,300,0.2,client,online,round0,0.001074141999197309
200000,16,256,200,300,0.2,client,online,round0,0.0010892350001086015
200000,16,256,200,300,0.2,client,online,round0,0.0010720959999162005
200000,16,256,200,300,0.2,client,online,round0,0.0010598169992590556
200000,16,256,200,300,0.2,client,online,round0,0.001101017000110005
200000,16,256,200,300,0.2,client,online,round0,0.0010789900006784592
200000,16,256,200,300,0.2,client,online,round0,0.0011029920005967142
200000,16,256,200,300,0.2,client,online,round0,0.0012296550012251828
200000,16,256,200,300,0.2,client,online,round0,0.0009849920006672619
200000,16,256,200,300,0.2,client,online,round0,0.001078868999684346
200000,16,256,200,300,0.2,client,online,round0,0.0010834880013135262
200000,16,256,200,300,0.2,client,online,round0,0.0010913060013990616
200000,16,256,200,300,0.2,client,online,round0,0.0010861749997275183
200000,16,256,200,300,0.2,client,online,round0,0.001107179999962682
200000,16,256,200,300,0.2,client,online,round0,0.0016074609993665945
200000,16,256,200,300,0.2,client,online,round0,0.0009563470011926256
200000,16,256,200,300,0.2,client,online,round0,0.0011536300007719547
200000,16,256,200,300,0.2,client,online,round0,0.0011963220003963215
200000,16,256,200,300,0.2,client,online,round0,0.0010489390006114263
200000,16,256,200,300,0.2,client,online,round0,0.0013000720009586075
200000,16,256,200,300,0.2,client,online,round0,0.0012325049992796266
200000,16,256,200,300,0.2,client,online,round0,0.0009742470010678517
200000,16,256,200,300,0.2,client,online,round0,0.0010733380004239734
200000,16,256,200,300,0.2,client,online,round0,0.0010325889998057391
200000,16,256,200,300,0.2,client,online,round0,0.001011907001156942
200000,16,256,200,300,0.2,client,online,round0,0.0011200219996680971
200000,16,256,200,300,0.2,client,online,round0,0.0009962239982996834
200000,16,256,200,300,0.2,client,online,round0,0.0011946909999096533
200000,16,256,200,300,0.2,client,online,round0,0.0010945699996227631
200000,16,256,200,300,0.2,client,online,round0,0.0010857830002350966
200000,16,256,200,300,0.2,client,online,round0,0.0012286329983908217
200000,16,256,200,300,0.2,client,online,round0,0.001396355000906624
200000,16,256,200,300,0.2,client,online,round0,0.0011125700002594385
200000,16,256,200,300,0.2,client,online,round0,0.0010909770007856423
200000,16,256,200,300,0.2,client,online,round0,0.0010751910012913868
200000,16,256,200,300,0.2,client,online,round0,0.001078559000234236
200000,16,256,200,300,0.2,client,online,round0,0.0011589080004341668
200000,16,256,200,300,0.2,client,online,round0,0.0010017580007115612
200000,16,256,200,300,0.2,client,online,round0,0.0010943400011456106
200000,16,256,200,300,0.2,client,online,round0,0.00116847099889128
200000,16,256,200,300,0.2,client,online,round0,0.0012880329995823558
200000,16,256,200,300,0.2,client,online,round0,0.0010036960011348128
200000,16,256,200,300,0.2,client,online,round0,0.0011194020007678773
200000,16,256,200,300,0.2,client,online,round0,0.00108805099989695
200000,16,256,200,300,0.2,client,online,round0,0.0010765890001493972
200000,16,256,200,300,0.2,client,online,round0,0.0011937580002268078
200000,16,256,200,300,0.2,client,online,round0,0.001114016000428819
200000,16,256,200,300,0.2,client,online,round0,0.0010028420001617633
200000,16,256,200,300,0.2,client,online,round0,0.0009948909992090194
200000,16,256,200,300,0.2,client,online,round0,0.0009821619987633312
200000,16,256,200,300,0.2,client,online,round0,0.0009609940007067053
200000,16,256,200,300,0.2,client,online,round0,0.0012691200008703163
200000,16,256,200,300,0.2,client,online,round0,0.001476956000260543
200000,16,256,200,300,0.2,client,online,round0,0.0010062910005217418
200000,16,256,200,300,0.2,client,online,round0,0.001049331000103848
200000,16,256,200,300,0.2,client,online,round0,0.0011278570000285981
200000,16,256,200,300,0.2,client,online,round0,0.0012752519996865885
200000,16,256,200,300,0.2,client,online,round0,0.0012089890005881898
200000,16,256,200,300,0.2,client,online,round0,0.0010446119995322078
200000,16,256,200,300,0.2,client,online,round0,0.00121560200022941
200000,16,256,200,300,0.2,client,online,round0,0.0011325939995003864
200000,16,256,200,300,0.2,client,online,round0,0.001058998999724281
200000,16,256,200,300,0.2,client,online,round0,0.0012606799991772277
200000,16,256,200,300,0.2,client,online,round0,0.0012061540001013782
200000,16,256,200,300,0.2,client,online,round0,0.0010851380011445144
200000,16,256,200,300,0.2,client,online,round0,0.0009905110000545392
200000,16,256,200,300,0.2,client,online,round0,0.001029504001053283
200000,16,256,200,300,0.2,client,online,round0,0.0012041429999953834
200000,16,256,200,300,0.2,client,online,round0,0.0010392180010967422
200000,16,256,200,300,0.2,client,online,round0,0.0011837110014312202
200000,16,256,200,300,0.2,client,online,round0,0.0011233320001338143
200000,16,256,200,300,0.2,client,online,round0,0.0016395769998780452
200000,16,256,200,300,0.2,client,online,round0,0.0010215489983238513
200000,16,256,200,300,0.2,client,online,round0,0.0010537079997448018
200000,16,256,200,300,0.2,client,online,round0,0.0010269499998685205
200000,16,256,200,300,0.2,client,online,round0,0.0010535690016695298
200000,16,256,200,300,0.2,client,online,round0,0.0012127120007789927
200000,16,256,200,300,0.2,client,online,round0,0.0012392900007398566
200000,16,256,200,300,0.2,client,online,round0,0.0010948810013360344
200000,16,256,200,300,0.2,client,online,round0,0.0011247630009165732
200000,16,256,200,300,0.2,client,online,round0,0.00098770099975809
200000,16,256,200,300,0.2,client,online,round0,0.0011904090006282786
200000,16,256,200,300,0.2,client,online,round0,0.0010787409992190078
200000,16,256,200,300,0.2,client,online,round0,0.000967586998740444
200000,16,256,200,300,0.2,client,online,round0,0.0011355369988450548
200000,16,256,200,300,0.2,client,online,round0,0.0010104889988724608
200000,16,256,200,300,0.2,client,online,round0,0.0010434209998493316
200000,16,256,200,300,0.2,client,online,round0,0.001042526999299298
200000,16,256,200,300,0.2,client,online,round0,0.0010936340004263911
200000,16,256,200,300,0.2,client,online,round0,0.0016797049993328983
200000,16,256,200,300,0.2,client,online,round0,0.0012917629992443835
200000,16,256,200,300,0.2,client,online,round0,0.001188240999908885
200000,16,256,200,300,0.2,client,online,round0,0.0010604199997032993
200000,16,256,200,300,0.2,client,online,round0,0.0010932349996437551
200000,16,256,200,300,0.2,client,online,round0,0.0009438799988856772
200000,16,256,200,300,0.2,client,online,round0,0.0010445480002090335
200000,16,256,200,300,0.2,client,online,round0,0.0010981520008499501
200000,16,256,200,300,0.2,client,online,round0,0.0011339920001773862
200000,16,256,200,300,0.2,client,online,round0,0.001125957000112976
200000,16,256,200,300,0.2,client,online,round0,0.0010280719998263521
200000,16,256,200,300,0.2,client,online,round0,0.0010803599998325808
200000,16,256,200,300,0.2,client,online,round0,0.001032820000546053
200000,16,256,200,300,0.2,client,online,round0,0.0011416170000302373
