dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
10000,16,256,400,600,0.0,client,online,round0,0.005041453056037426
10000,16,256,400,600,0.0,client,online,round0,0.0010510280262678862
10000,16,256,400,600,0.0,client,online,round0,0.0019180140225216746
10000,16,256,400,600,0.0,client,online,round0,0.001155260019004345
10000,16,256,400,600,0.0,client,online,round0,0.0011510570766404271
10000,16,256,400,600,0.0,client,online,round0,0.0012060659937560558
10000,16,256,400,600,0.0,client,online,round0,0.0013395230052992702
10000,16,256,400,600,0.0,client,online,round0,0.0011988590704277158
10000,16,256,400,600,0.0,client,online,round0,0.001022691954858601
10000,16,256,400,600,0.0,client,online,round0,0.0010325220646336675
10000,16,256,400,600,0.0,client,online,round0,0.0011554359225556254
10000,16,256,400,600,0.0,client,online,round0,0.000997641938738525
10000,16,256,400,600,0.0,client,online,round0,0.0013057199539616704
10000,16,256,400,600,0.0,client,online,round0,0.0011637159623205662
10000,16,256,400,600,0.0,client,online,round0,0.0012958989245817065
10000,16,256,400,600,0.0,client,online,round0,0.0012443179730325937
10000,16,256,400,600,0.0,client,online,round0,0.0011089049512520432
10000,16,256,400,600,0.0,client,online,round0,0.0012014060048386455
10000,16,256,400,600,0.0,client,online,round0,0.001241943915374577
10000,16,256,400,600,0.0,client,online,round0,0.0011622150195762515
10000,16,256,400,600,0.0,client,online,round0,0.0011553210206329823
10000,16,256,400,600,0.0,client,online,round0,0.0012709780130535364
10000,16,256,400,600,0.0,client,online,round0,0.0010539949871599674
10000,16,256,400,600,0.0,client,online,round0,0.0012208670377731323
10000,16,256,400,600,0.0,client,online,round0,0.0009978580055758357
10000,16,256,400,600,0.0,client,online,round0,0.0010068940464407206
10000,16,256,400,600,0.0,client,online,round0,0.0011866259155794978
10000,16,256,400,600,0.0,client,online,round0,0.0010038530454039574
10000,16,256,400,600,0.0,client,online,round0,0.0010808450169861317
10000,16,256,400,600,0.0,client,online,round0,0.005873256013728678
10000,16,256,400,600,0.0,client,online,round0,0.0010948269627988338
10000,16,256,400,600,0.0,client,online,round0,0.0010618630331009626
10000,16,256,400,600,0.0,client,online,round0,0.0010671279160305858
10000,16,256,400,600,0.0,client,online,round0,0.0012015189277008176
10000,16,256,400,600,0.0,client,online,round0,0.0011203920003026724
10000,16,256,400,600,0.0,client,online,round0,0.0012762299738824368
