dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
200000,16,2048,200,300,0.3,client,setup,register,0.004442192992428318
200000,16,2048,200,300,0.3,client,setup,register,0.0011347199906595051
200000,16,2048,200,300,0.3,client,setup,register,0.001109921999159269
200000,16,2048,200,300,0.3,client,setup,register,0.0010599579982226714
200000,16,2048,200,300,0.3,client,setup,register,0.0010641239932738245
200000,16,2048,200,300,0.3,client,setup,register,0.001098413995350711
200000,16,2048,200,300,0.3,client,setup,register,0.001146868002251722
200000,16,2048,200,300,0.3,client,setup,register,0.001075274994946085
200000,16,2048,200,300,0.3,client,setup,register,0.0009925570047926158
200000,16,2048,200,300,0.3,client,setup,register,0.001174188990262337
200000,16,2048,200,300,0.3,client,setup,register,0.0010717239929363132
200000,16,2048,200,300,0.3,client,setup,register,0.00110465100442525
200000,16,2048,200,300,0.3,client,setup,register,0.0011214070109417662
200000,16,2048,200,300,0.3,client,setup,register,0.0011443190014688298
200000,16,2048,200,300,0.3,client,setup,register,0.001093993996619247
200000,16,2048,200,300,0.3,client,setup,register,0.0011169520003022626
200000,16,2048,200,300,0.3,client,setup,register,0.001089544006390497
200000,16,2048,200,300,0.3,client,setup,register,0.0010694999946281314
200000,16,2048,200,300,0.3,client,setup,register,0.0010969139984808862
200000,16,2048,200,300,0.3,client,setup,register,0.0010709269990911707
200000,16,2048,200,300,0.3,client,setup,register,0.001179194005089812
200000,16,2048,200,300,0.3,client,setup,register,0.0012297939974814653
200000,16,2048,200,300,0.3,client,setup,register,0.0010983259999193251
200000,16,2048,200,300,0.3,client,setup,register,0.0011462859984021634
200000,16,2048,200,300,0.3,client,setup,register,0.0011206349881831557
200000,16,2048,200,300,0.3,client,setup,register,0.001132524004788138
200000,16,2048,200,300,0.3,client,setup,register,0.0011379049974493682
200000,16,2048,200,300,0.3,client,setup,register,0.0010559149959590286
200000,16,2048,200,300,0.3,client,setup,register,0.0011115529923699796
200000,16,2048,200,300,0.3,client,setup,register,0.001160177998826839
200000,16,2048,200,300,0.3,client,setup,register,0.0010429539979668334
200000,16,2048,200,300,0.3,client,setup,register,0.0010544719989411533
200000,16,2048,200,300,0.3,client,setup,register,0.0010460999910719693
200000,16,2048,200,300,0.3,client,setup,register,0.0011401210067560896
200000,16,2048,200,300,0.3,client,setup,register,0.001053223997587338
200000,16,2048,200,300,0.3,client,setup,register,0.0011214180121896788
200000,16,2048,200,300,0.3,client,setup,register,0.001087841999833472
200000,16,2048,200,300,0.3,client,setup,register,0.0010794440022436902
200000,16,2048,200,300,0.3,client,setup,register,0.0012136570003349334
200000,16,2048,200,300,0.3,client,setup,register,0.001092395992600359
200000,16,2048,200,300,0.3,client,setup,register,0.0011091549968114123
200000,16,2048,200,300,0.3,client,setup,register,0.0009653180022723973
200000,16,2048,200,300,0.3,client,setup,register,0.0010899819899350405
200000,16,2048,200,300,0.3,client,setup,register,0.0011218219879083335
200000,16,2048,200,300,0.3,client,setup,register,0.0010964660032186657
200000,16,2048,200,300,0.3,client,setup,register,0.001046977995429188
200000,16,2048,200,300,0.3,client,setup,register,0.0010754859977168962
200000,16,2048,200,300,0.3,client,setup,register,0.0010999449877999723
200000,16,2048,200,300,0.3,client,setup,register,0.0010616429935907945
200000,16,2048,200,300,0.3,client,setup,register,0.0010650889889802784
200000,16,2048,200,300,0.3,client,setup,register,0.0010749369976110756
200000,16,2048,200,300,0.3,client,setup,register,0.0011251450050622225
200000,16,2048,200,300,0.3,client,setup,register,0.0010865709919016808
200000,16,2048,200,300,0.3,client,setup,register,0.0011067699961131439
200000,16,2048,200,300,0.3,client,setup,register,0.0010717800032580271
200000,16,2048,200,300,0.3,client,setup,register,0.001047833007760346
200000,16,2048,200,300,0.3,client,setup,register,0.0010685710003599524
200000,16,2048,200,300,0.3,client,setup,register,0.0011671950051095337
200000,16,2048,200,300,0.3,client,setup,register,0.0011476380022941157
200000,16,2048,200,300,0.3,client,setup,register,0.0011344300000928342
200000,16,2048,200,300,0.3,client,setup,register,0.0011991959909209982
200000,16,2048,200,300,0.3,client,setup,register,0.0010779200092656538
200000,16,2048,200,300,0.3,client,setup,register,0.0010882749920710921
200000,16,2048,200,300,0.3,client,setup,register,0.0010505179961910471
