dimension,inputsize,keysize,threshold,nclients,dropout,phase,round,direction,size
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,register,sent,1040
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269200
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269272
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269312
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269152
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269096
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269008
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269104
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269088
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269080
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269256
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,268928
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269248
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,268840
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269232
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269224
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269208
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269176
1000,16,2048,67,100,0.0,setup,keysetup1,rcvd,105600
1000,16,2048,67,100,0.0,setup,keysetup1,sent,269056
