dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
10000,16,2048,67,100,0.0,client,setup,register,0.004312274017138407
10000,16,2048,67,100,0.0,client,setup,register,0.0010955260077025741
10000,16,2048,67,100,0.0,client,setup,register,0.0010524910176172853
10000,16,2048,67,100,0.0,client,setup,register,0.0010318850108888
10000,16,2048,67,100,0.0,client,setup,register,0.0010271230130456388
10000,16,2048,67,100,0.0,client,setup,register,0.0010218230017926544
10000,16,2048,67,100,0.0,client,setup,register,0.0010266930039506406
10000,16,2048,67,100,0.0,client,setup,register,0.0009915800183080137
10000,16,2048,67,100,0.0,client,setup,register,0.0010580710077192634
10000,16,2048,67,100,0.0,client,setup,register,0.0010420329927001148
10000,16,2048,67,100,0.0,client,setup,register,0.0010408610105514526
10000,16,2048,67,100,0.0,client,setup,register,0.0010427429806441069
10000,16,2048,67,100,0.0,client,setup,register,0.001155047008069232
10000,16,2048,67,100,0.0,client,setup,register,0.0010090459836646914
10000,16,2048,67,100,0.0,client,setup,register,0.001033304986776784
10000,16,2048,67,100,0.0,client,setup,register,0.0010479720076546073
10000,16,2048,67,100,0.0,client,setup,register,0.0010116740013472736
10000,16,2048,67,100,0.0,client,setup,register,0.0011023209954146296
10000,16,2048,67,100,0.0,client,setup,register,0.0010489359847269952
10000,16,2048,67,100,0.0,client,setup,register,0.0010265129967592657
10000,16,2048,67,100,0.0,client,setup,register,0.0010174239869229496
10000,16,2048,67,100,0.0,client,setup,register,0.0010471830028109252
10000,16,2048,67,100,0.0,client,setup,register,0.0010984019900206476
10000,16,2048,67,100,0.0,client,setup,register,0.0010431210102979094
10000,16,2048,67,100,0.0,client,setup,register,0.0010862720082513988
10000,16,2048,67,100,0.0,client,setup,register,0.0010709150228649378
10000,16,2048,67,100,0.0,client,setup,register,0.0010539180075284094
10000,16,2048,67,100,0.0,client,setup,register,0.0010175110073760152
10000,16,2048,67,100,0.0,client,setup,register,0.0010517390037421137
10000,16,2048,67,100,0.0,client,setup,register,0.0010757069976534694
10000,16,2048,67,100,0.0,client,setup,register,0.0010217439848929644
10000,16,2048,67,100,0.0,client,setup,register,0.0010792489920277148
10000,16,2048,67,100,0.0,client,setup,register,0.0010076930047944188
