dimension,inputsize,keysize,threshold,nclients,dropout,phase,round,direction,size
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
500000,16,2048,200,300,0.0,setup,register,sent,1040
